Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
New Zealand,Western Pacific,2028,42.06,19,0.39,2,26,0.54,0,0,0,Clusters of cases
Liberia,Africa,2014,39.82,16,0.32,0,85,1.68,0,0,0,Community transmission
Monaco,Europe,1965,5007.13,61,155.44,0,25,63.7,2,5.1,1,Sporadic cases
Sao Tome and Principe,Africa,1840,839.57,185,84.41,12,30,13.69,4,1.83,0,Community transmission
Saint Vincent and the Grenadines,Americas,1628,1467.46,117,105.46,0,8,7.21,2,1.8,0,Community transmission
Saint Martin,Americas,1554,4019.76,35,90.54,0,12,31.04,0,0,0,Community transmission
Papua New Guinea,Western Pacific,1365,15.26,254,2.84,0,14,0.16,4,0.04,0,Community transmission
Cambodia,Western Pacific,878,5.25,245,1.47,34,0,0,0,0,0,Sporadic cases
Bhutan,South-East Asia,867,112.36,0,0,0,1,0.13,0,0,0,Clusters of cases
Guernsey,Europe,821,1299.13,4,6.33,0,14,22.15,0,0,0,Community transmission
Antigua and Barbuda,Americas,769,785.26,155,158.28,0,14,14.3,0,0,0,Clusters of cases
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Bermuda,Americas,713,1144.96,14,22.48,8,12,19.27,0,0,0,Sporadic cases
Faroe Islands,Europe,658,1346.57,0,0,0,1,2.05,0,0,0,Sporadic cases
Mauritius,Africa,619,48.67,16,1.26,0,10,0.79,0,0,0,Sporadic cases
Saint Barthélemy,Americas,612,6191.2,79,799.19,0,0,0,0,0,0,Clusters of cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Isle of Man,Europe,486,571.55,30,35.28,2,25,29.4,0,0,0,No cases
Cayman Islands,Americas,447,680.16,16,24.35,3,2,3.04,0,0,0,Sporadic cases
Bonaire,Americas,419,2003.35,16,76.5,4,4,19.13,0,0,0,Community transmission
Brunei Darussalam,Western Pacific,187,42.74,2,0.46,0,3,0.69,0,0,0,Sporadic cases
British Virgin Islands,Americas,153,506,0,0,0,1,3.31,0,0,0,Clusters of cases
Grenada,Americas,148,131.53,0,0,0,1,0.89,0,0,0,Sporadic cases
Dominica,Americas,144,200.03,10,13.89,2,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,144,250.19,1,1.74,1,2,3.47,0,0,0,Pending
Timor-Leste,South-East Asia,113,8.57,4,0.3,0,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,59,6.58,3,0.33,0,2,0.22,0,0,0,Sporadic cases
New Caledonia,Western Pacific,58,20.32,3,1.05,0,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,51,1464.25,2,57.42,0,0,0,0,0,0,No cases
Lao People's Democratic Republic,Western Pacific,45,0.62,0,0,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,41,77.08,0,0,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,30,52.84,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,414.15,0,0,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,Sporadic cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Anguilla,Americas,18,119.98,0,0,0,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,18,2.62,0,0,0,0,0,0,0,0,No cases
Wallis and Futuna,Western Pacific,9,80.03,0,0,0,0,0,0,0,0,Sporadic cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,4,2.02,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,1,0.33,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
